fr,gnome-i18n/extra-po/helix-gdm2,127,14,9
fr,helix-install/src/rpm-3.0.3/po,24,196,529
fr,libgtop/po,267,3,10
fr,magicdev/po,11,,
fr,mc/po,1389,45,78
fr,memprof/po,32,8,30
fr,nautilus/po,297,8,1
fr,pan/po,513,73,10
fr,rp3/po,,,
fr,sodipodi/po,,,
fr,gnome-i18n/extra-po/sawfish,,,
fr,gnome-i18n/extra-po/xchat,280,2,1
ga,achtung/po,,,
ga,balsa/po,84,50,239
ga,bonobo/po,,,
ga,bug-buddy/po,14,2,96
ga,control-center/po,98,,209
ga,dia/po,74,43,499
ga,dr-genius/po,34,1,389
ga,eog/po,33,,14
ga,evolution/po,,,
ga,gconf/po,9,,194
ga,gdm2/po,,,
ga,gnome-i18n/extra-po/gdm2beta5,,,
ga,gedit/po,5,12,153
ga,gfloppy/po,,,
ga,ggv/po,4,34,59
ga,ghex/po,13,7,87
ga,gimp/po,,,
ga,gimp/po-libgimp,,,
ga,gimp/po-script-fu,,,
ga,gimp/po-plug-ins,,,
ga,gimp-freetype/po,,,
ga,glade/po,133,3,1041
ga,gnome-i18n/extra-po/gnapster,,,
ga,gnome-applets/po,110,18,718
ga,gnome-chess/po,23,2,23
ga,gnome-core/po,273,109,370
ga,gnome-db/po,55,41,483
ga,gnome-games/po,134,73,413
ga,gnome-libs/po,16,21,340
ga,gnome-lokkit/po,,,
ga,gnome-media/po,75,6,168
ga,gnome-pilot/po,,,
ga,gnome-pim/po,246,15,201
ga,gnome-print/po,,,
ga,gnome-utils/po,120,52,521
ga,gnome-vfs/po,,,
ga,gnomeicu/po,,,
ga,gnorpm/po,43,,234
ga,gnumeric/po,304,125,1655
ga,gphoto/po,,,
ga,gtk+/po,113,1,2
ga,gnome-i18n/extra-po/gtm,,,
ga,gtop/po,7,3,243
ga,gtranslator/po,,,
ga,guppi3/po,,,
ga,gxsnmp/po,87,,176
ga,gnome-i18n/extra-po/helix-gdm2,,,
ga,helix-install/src/rpm-3.0.3/po,,,
ga,libgtop/po,71,17,192
ga,magicdev/po,,,
ga,mc/po,,,
ga,memprof/po,,,
ga,nautilus/po,,,
ga,pan/po,,,
ga,rp3/po,,,
ga,sodipodi/po,,,
ga,gnome-i18n/extra-po/sawfish,,,
ga,gnome-i18n/extra-po/xchat,,,
gl,achtung/po,89,12,22
gl,balsa/po,,,
gl,bonobo/po,20,4,72
gl,bug-buddy/po,112,,
gl,control-center/po,294,11,2
gl,dia/po,,,
gl,dr-genius/po,,,
gl,eog/po,47,,
gl,evolution/po,94,25,100
gl,gconf/po,,,
gl,gdm2/po,148,,
gl,gnome-i18n/extra-po/gdm2beta5,,,
gl,gedit/po,125,7,38
gl,gfloppy/po,34,,
gl,ggv/po,97,,
gl,ghex/po,107,,
gl,gimp/po,,,
gl,gimp/po-libgimp,,,
gl,gimp/po-script-fu,,,
gl,gimp/po-plug-ins,,,
gl,gimp-freetype/po,,,
gl,glade/po,872,300,5
gl,gnome-i18n/extra-po/gnapster,,,
gl,gnome-applets/po,846,,
gl,gnome-chess/po,48,,
gl,gnome-core/po,752,,
gl,gnome-db/po,308,137,134
gl,gnome-games/po,439,3,178
gl,gnome-libs/po,377,,
gl,gnome-lokkit/po,,,
gl,gnome-media/po,249,,
gl,gnome-pilot/po,286,,1
gl,gnome-pim/po,462,,
gl,gnome-print/po,73,,3
